"department_name";"department_short_code"
"ACC";"acc"
"ACDS";"acds"
"ADM";"adm"
"CAC";"cac"
"CPEC";"cpec"
"CRFIM";"crfim"
"DIT";"dit"
"DPSP";"dpsp"
"RAJ";"raj"
