"department_name";"department_short_code"
"ACC";"acc"
"ACDS";"acds"
"ADM";"adm"
"CAC";"cac"
"CCD";"ccd"
"CGMSEC";"cgmsec"
"CVC";"cvc"
"DEAR";"dear"
"DIT";"dit"
"DPSP";"dpsp"
"FAD";"fad"
"HRMD";"hrmd"
"ID";"id"
"RAJ";"raj"
"RMD";"rmd"
