"department_name";"department_short_code"
"BID";"bid"
"CAC";"cac"
"CCD";"ccd"
"CGMSEC";"cgmsec"
"CPD";"cpd"
"DEAR";"dear"
"DFIBT";"dfibt"
"DIT";"dit"
"DOR";"dor"
"DOS";"dos"
"DPSP";"dpsp"
"DSM";"dsm"
"FAD";"fad"
"FSDD";"fsdd"
"HRMD";"hrmd"
"IDD";"idd"
"LIB";"lib"
"MCID";"mcid"
"NABCONS";"nabcons"
"OFDD";"ofdd"
"RAJ";"raj"
"RMD";"rmd"
"RTI";"rti"
"SPD";"spd"
