"department_name";"department_short_code"
"BID";"bid"
"CAC";"cac"
"CCD";"ccd"
"CGMSEC";"cgmsec"
"CPD";"cpd"
"DCAS";"dcas"
"DDMABI";"ddmabi"
"DEAR";"dear"
"DFIBT";"dfibt"
"DIT";"dit"
"DOR";"dor"
"DOS";"dos"
"DPSP";"dpsp"
"DSM";"dsm"
"FAD";"fad"
"FSDD";"fsdd"
"FSPD";"fspd"
"HRMD";"hrmd"
"ID";"id"
"IDD";"idd"
"MCID";"mcid"
"NABCONS";"nabcons"
"OFDD";"ofdd"
"RAJ";"raj"
"RMD";"rmd"
"SPD";"spd"
"SPPID";"sppid"
