"department_name";"department_short_code"
"BID";"bid"
"CAC";"cac"
"CCD";"ccd"
"CPD";"cpd"
"CSDD";"csdd"
"DCAS";"dcas"
"DDMABI";"ddmabi"
"DEAR";"dear"
"DFIBT";"dfibt"
"DIT";"dit"
"DOR";"dor"
"DOS";"dos"
"DPSP";"dpsp"
"DSM";"dsm"
"FAD";"fad"
"FSDD";"fsdd"
"HRMD";"hrmd"
"IDD";"idd"
"MCID";"mcid"
"OFDD";"ofdd"
"RAJ";"raj"
"RMD";"rmd"
"SPD";"spd"
"SPPID";"sppid"
