"department_name";"department_short_code"
"AES";"aes"
"BID";"bid"
"CAC";"cac"
"CHMNS";"chmns"
"CPD";"cpd"
"CSDD";"csdd"
"DCAS";"dcas"
"DDSI";"ddsi"
"DEAR";"dear"
"DFIBT";"dfibt"
"DIT";"dit"
"DOR";"dor"
"DOS";"dos"
"DPSP";"dpsp"
"DSM";"dsm"
"DSSI";"dssi"
"FAD";"fad"
"FSDD";"fsdd"
"FSPD";"fspd"
"HRMD";"hrmd"
"IDD";"idd"
"LAW";"law"
"Liaison";"liasn"
"LIB";"lib"
"MCID";"mcid"
"OFDD";"ofdd"
"P&S Section";"pns"
"RAJ";"raj"
"RMD";"rmd"
"SPD";"spd"
"SPPID";"sppid"
