"department_name";"department_short_code"
"BID";"bid"
"CAC";"cac"
"CPD";"cpd"
"DEAR";"dear"
"DIT";"dit"
"DPSP";"dpsp"
"DOR";"dor"
"DOS";"dos"
"DFIBT";"dfibt"
"FAD";"fad"
"FSDD";"fsdd"
"HRMD";"hrmd"
"IDD";"idd"
"MCID";"mcid"
"OFDD";"ofdd"
"RAJ";"raj"
"RMD";"rmd"
"SPD";"spd"
"OIC Secretariate";"oicsec"
"CCD";"ccd"
"DSM";"dsm"
"NABCONS";"nabcons"
"CVD";"cvd"
